"","Ticket ID","Issue Type","Issue Description","Case Owner","Case Owner Description","Street Address","City","State / Province","Zip / Postal Code","Neighborhood / District / Ward / etc.","Created Year Month","Ticket Created Date / Time","Ticket Last Updated Date / Time","Ticket Closed Date / Time","Ticket Status","X Coordinate","Y Coordinate","Latitude","Longitude","Location Geo. Coded","Method Received","Goal Days","Actual Completed Days"
"1","13-00000001","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","7707 SW 117TH AVE","Miami_Dade_County","Florida",33173,"District 10",20131,"01/01/2013 12:02:49 AM","01/01/2013 12:34:18 AM","01/01/2013 12:34:18 AM","CLOSED",859632.259755293,495700.415381493,25.696061,-80.382117,"7707 SW 117TH AVE
MIAMI, Florida 33173
(25.696061, -80.382117)","MOBILE",1,0
"2","13-00000002","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","18800 NW 57TH AVE","Miami_Dade_County","Florida",33015,"District 1",20131,"01/01/2013 01:25:52 AM","01/01/2013 01:46:44 AM","01/01/2013 01:46:44 AM","CLOSED",888138.472186942,585887.469672664,25.943794,-80.294085,"18800 NW 57TH AVE
MIAMI, Florida 33015
(25.943794, -80.294085)","MOBILE",1,0
"3","13-00000174","CAT TRAP REQUEST",NA,"Animal_Services","Animal Services","7897 SW 12TH ST","Miami_Dade_County","Florida",33144,"District 10",20131,"01/01/2013 07:31:51 AM","01/10/2014 01:17:19 PM","01/10/2014 01:17:19 PM","CLOSED",878585.5,518636.436,25.75891,-80.324207,"7897 SW 12TH ST
MIAMI, Florida 33144
(25.75891, -80.324207)","PHONE",15,374
"4","13-00000175","PIT BULL INVESTIGATION",NA,"Animal_Services","Animal Services","2985 SW 2ND ST","City_of_Miami","Florida",33135,"District 5",20131,"01/01/2013 08:51:26 AM","02/13/2013 12:01:41 PM","02/13/2013 12:01:38 PM","CLOSED",905190.573398829,522934.268097601,25.770336,-80.243301,"2985 SW 2ND ST
MIAMI, Florida 33135
(25.770336, -80.243301)","PHONE",30,43
"5","13-00000176","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","16630 SW 103RD PL","Miami_Dade_County","Florida",33157,"District 9",20131,"01/01/2013 09:24:25 AM","01/10/2013 12:41:18 PM","01/10/2013 12:41:18 PM","CLOSED",866815.9375,466100.28125,25.614528,-80.360737,"16630 SW 103RD PL
MIAMI, Florida 33157
(25.614528, -80.360737)","PHONE",14,9
"6","13-00000177","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","28 W 16TH ST","City_of_Hialeah","Florida",33010,"District 6",20131,"01/01/2013 09:32:14 AM","01/06/2013 02:58:50 PM","01/06/2013 02:58:48 PM","CLOSED",892167.9375,546728.4375,25.836,-80.282475,"28 W 16TH ST
MIAMI, Florida 33010
(25.836, -80.282475)","PHONE",14,5
"7","13-00000178","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","21 SW 66TH AVE","City_of_Miami","Florida",33144,"District 6",20131,"01/01/2013 09:37:54 AM","01/11/2013 01:56:00 PM","01/11/2013 01:56:00 PM","CLOSED",885582.8125,522707.34375,25.77001,-80.302882,"21 SW 66TH AVE
MIAMI, Florida 33144
(25.77001, -80.302882)","PHONE",14,10
"8","13-00000179","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","15396 SW 178TH TER","Miami_Dade_County","Florida",33187,"District 9",20131,"01/01/2013 09:44:05 AM","01/03/2013 12:13:46 PM","01/03/2013 12:13:47 PM","CLOSED",840040.4375,460874.875,25.600483,-80.442057,"15396 SW 178TH TER
MIAMI, Florida 33187
(25.600483, -80.442057)","PHONE",14,2
"9","13-00000180","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","13145 SW 90TH CT","Miami_Dade_County","Florida",33176,"District 8",20131,"01/01/2013 09:48:34 AM","01/18/2013 01:56:51 PM","01/18/2013 01:56:51 PM","CLOSED",873511.9375,478269.03125,25.647918,-80.340234,"13145 SW 90TH CT
MIAMI, Florida 33176
(25.647918, -80.340234)","PHONE",14,17
"10","13-00000181","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","11463 SW 238TH ST","Miami_Dade_County","Florida",33032,"District 8",20131,"01/01/2013 09:53:40 AM","01/07/2013 01:35:21 PM","01/07/2013 01:35:21 PM","CLOSED",861387.625,441322.53125,25.546426,-80.377563,"11463 SW 238TH ST
MIAMI, Florida 33032
(25.546426, -80.377563)","PHONE",14,6
"11","13-00000182","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","9245 SW 36TH ST","Miami_Dade_County","Florida",33165,"District 10",20131,"01/01/2013 10:02:43 AM","01/10/2013 04:07:06 PM","01/10/2013 04:07:07 PM","CLOSED",871966.125,510561.25,25.736784,-80.34444,"9245 SW 36TH ST
MIAMI, Florida 33165
(25.736784, -80.34444)","PHONE",14,9
"12","13-00000183","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","245 W 30TH ST","City_of_Hialeah","Florida",33012,"District 6",20131,"01/01/2013 10:29:03 AM","01/05/2013 12:04:01 PM","01/05/2013 12:04:01 PM","CLOSED",890540.6875,551570.375,25.849345,-80.287343,"245 W 30TH ST
MIAMI, Florida 33012
(25.849345, -80.287343)","PHONE",14,4
"13","13-00000184","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","21521 SW 88TH AVE","Town_of_Cutler_Bay","Florida",33189,"District 8",20131,"01/01/2013 10:33:21 AM","01/23/2013 12:42:54 PM","01/23/2013 12:42:54 PM","CLOSED",875711.25,448166.625,25.565066,-80.334017,"21521 SW 88TH AVE
MIAMI, Florida 33189
(25.565066, -80.334017)","PHONE",14,22
"14","13-00000185","ANIMAL BITE TO A PERSON",NA,"Animal_Services","Animal Services","7670 NW 4TH ST","Miami_Dade_County","Florida",33126,"District 6",20131,"01/01/2013 10:31:48 AM","01/02/2013 10:48:07 AM","01/02/2013 10:48:07 AM","CLOSED",880085.4375,524105.03125,25.773934,-80.319564,"7670 NW 4TH ST
MIAMI, Florida 33126
(25.773934, -80.319564)","PHONE",14,1
"15","13-00000186","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","10010 W GUAVA ST","Miami_Dade_County","Florida",33157,"District 9",20131,"01/01/2013 11:30:06 AM","01/01/2013 12:42:07 PM","01/01/2013 12:42:07 PM","CLOSED",869116.8125,463016.59375,25.606013,-80.353801,"10010 W GUAVA ST
MIAMI, Florida 33157
(25.606013, -80.353801)","PHONE",1,0
"16","13-00000187","INJURED ANIMAL",NA,"Animal_Services","Animal Services","10800 SW 211TH ST","Town_of_Cutler_Bay","Florida",33189,"District 8",20131,"01/01/2013 01:23:07 PM","01/01/2013 02:27:21 PM","01/01/2013 02:27:21 PM","CLOSED",865089.75,449801.09375,25.569706,-80.366212,"10800 SW 211TH ST
MIAMI, Florida 33189
(25.569706, -80.366212)","PHONE",1,0
